"location_name","center_lat","center_lng","bounds_northeast_lat","bounds_northeast_lng","bounds_southwest_lat","bounds_southwest_lng","viewport_northeast_lat","viewport_northeast_lng","viewport_southwest_lat","viewport_southwest_lng"
"Casper, Wyoming","42.84870900000001","-106.2980824","42.9076386","-106.2159009","42.7429397","-106.4349685","42.9076386","-106.2159009","42.7429397","-106.4349685"
"Ivry-sur-Seine","48.813055","2.38822","48.8256923","2.4102701","48.79930299999999","2.3642041","48.8256923","2.4102701","48.79930299999999","2.3642041"
"Ipameri","-17.7199562","-48.1591052","-17.6938784","-48.133539","-17.7426136","-48.1870444","-17.6938784","-48.133539","-17.7426136","-48.1870444"
"Chamalières","45.77412","3.060484","45.7866015","3.0761172","45.7616583","3.0448321","45.7866015","3.0761172","45.7616583","3.0448321"
"Paraúna","-16.9504597","-50.4466297","-16.9389764","-50.4198348","-16.9749035","-50.4605389","-16.9389764","-50.4198348","-16.9749035","-50.4605389"
"Glasgow","55.864237","-4.251806","55.9296413","-4.0717167","55.7812791","-4.3932005","55.9296413","-4.0717167","55.7812791","-4.3932005"
"Rio Claro","-22.4107652","-47.5596215","-22.2443104","-47.4650299","-22.5477904","-47.6670377","-22.2443104","-47.4650299","-22.5477904","-47.6670377"
"Cabo Frio","-22.8868932","-42.0266621","-22.5401257","-41.8890111","-22.9331309","-42.18240309999999","-22.5401257","-41.8890111","-22.9331309","-42.18240309999999"
"Matriz de Camaragibe","-9.154855699999999","-35.5246235","-9.024061399999999","-35.4347689","-9.191293","-35.7136918","-9.024061399999999","-35.4347689","-9.191293","-35.7136918"
"Petaluma, California","38.232417","-122.6366524","38.2987959","-122.5673551","38.2051469","-122.683334","38.2987959","-122.5673551","38.2051469","-122.683334"
"Urbano Santos","-3.2071299","-43.401671","","","","","-3.205780919708498","-43.4003220197085","-3.208478880291502","-43.4030199802915"
"Arari","-3.4565674","-44.7769469","-3.430759","-44.76608770000001","-3.4741325","-44.7854509","-3.430759","-44.76608770000001","-3.4741325","-44.7854509"
"Coral Springs, Florida","26.271192","-80.2706044","26.3110529","-80.2017218","26.22916","-80.2976839","26.3110529","-80.2017218","26.22916","-80.2976839"
"Sants-Montjuic","41.3591694","2.1446721","41.3856172","2.1834758","41.3170385","2.1005265","41.3856172","2.1834758","41.3170385","2.1005265"
"Savigny-sur-Orge","48.6851259","2.349282","48.7027687","2.3719645","48.6674958","2.3266618","48.7027687","2.3719645","48.6674958","2.3266618"
"Guabiraba","-7.953198199999999","-34.9505943","-7.929205499999999","-34.9046471","-8.0029218","-35.0083996","-7.929205499999999","-34.9046471","-8.0029218","-35.0083996"
"Wilmington, North Carolina","34.2103894","-77.8868117","34.2670259","-77.7868489","34.1472459","-77.95729109999999","34.2670259","-77.7868489","34.1472459","-77.95729109999999"
"Sant Adria de Besos","41.42668","2.2245813","41.4352038","2.2371873","41.4125921","2.206067","41.4352038","2.2371873","41.4125921","2.206067"
"Santa Maria de Jetibá","-20.0260669","-40.74365969999999","-20.0031002","-40.7229671","-20.0451752","-40.7483944","-20.0031002","-40.7229671","-20.0451752","-40.7483944"
"Rio Largo","-9.4779093","-35.8355206","-9.3755663","-35.7694638","-9.5888387","-35.95975","-9.3755663","-35.7694638","-9.5888387","-35.95975"
"Nanterre","48.892423","2.215331","48.9206134","2.2342676","48.87422919999999","2.1693487","48.9206134","2.2342676","48.87422919999999","2.1693487"
"Riverside, California","33.9806005","-117.3754942","34.01951409999999","-117.275174","33.872517","-117.523882","34.01951409999999","-117.275174","33.872517","-117.523882"
"Reserva","-24.6520429","-50.8548839","-24.6422228","-50.8359338","-24.6654878","-50.8694326","-24.6422228","-50.8359338","-24.6654878","-50.8694326"
"Lorena","-22.7348827","-45.1183782","-22.6913015","-45.0739854","-22.7706947","-45.1488385","-22.6913015","-45.0739854","-22.7706947","-45.1488385"
"Sant Gervasi - Galvany","41.3989008","2.1432401","41.4044183","2.1557106","41.3912384","2.1327902","41.4044183","2.1557106","41.3912384","2.1327902"
"Santa Isabel do Rio Negro","-0.4149403","-65.0154932","1.2922759","-63.959823","-1.7983852","-67.649504","1.2922759","-63.959823","-1.7983852","-67.649504"
